directorio,sex,female,age,max_educ_level,total_hours_worked,estrato1,micro_empresa,formal,tipo_ocup,size_firm,oficio,college,ingtot,y_ing_lab_m,y_ing_lab_m_ha,y_salary_m,y_salary_m_hu,y_total_m,y_total_m_ha
4514416,1,0,24,6,16,2,1,0,1,2,58,1,600000,600000,8750,600000,8750,600000,8750
4514416,0,1,20,7,48,2,0,1,1,4,33,0,737717,737717,3586.12426757812,737717,3586.12426757812,737717,3586.12426757812
4514419,1,0,42,5,50,2,1,0,1,2,93,0,737717,737717,3442.67944335938,737717,3442.67944335938,737717,3442.67944335938
4514420,1,0,25,6,48,2,0,1,1,5,37,1,1274806.66666667,1274806.625,6196.9765625,1100000,5347.22216796875,1274806.625,6196.9765625
4514421,0,1,58,7,30,3,0,1,2,5,13,0,2333333.33333333,2333333.25,18148.1484375,2000000,15555.5556640625,2333333.25,18148.1484375
4514422,1,0,46,6,50,2,0,1,1,4,39,1,2600000,2600000,12133.3330078125,2100000,9800,2600000,12133.3330078125
4514423,1,0,25,6,48,2,0,1,1,5,45,1,950000,950000,4618.0556640625,950000,4618.0556640625,950000,4618.0556640625
4514424,0,1,31,7,48,3,0,1,1,5,6,0,2166666.66666667,2166666.75,10532.408203125,2000000,9722.22265625,2166666.75,10532.408203125
4514428,0,1,23,7,45,3,0,1,1,5,2,0,1599806.66666667,1599806.625,8295.2939453125,1400000,7259.25927734375,1599806.625,8295.2939453125
4514428,1,0,25,7,40,3,0,1,1,3,39,0,903140,903140,5268.31689453125,800000,4666.66650390625,903140,5268.31689453125
4514429,1,0,26,6,48,2,1,0,1,2,77,1,1200000,1200000,5833.33349609375,1200000,5833.33349609375,1200000,5833.33349609375
4514430,0,1,35,7,48,3,0,1,1,5,21,0,4441000,4441000,21588.1953125,4066000,19765.27734375,4441000,21588.1953125
4514431,1,0,52,5,48,2,0,1,1,5,58,0,1166473.33333333,1166473.375,5670.3564453125,1000000,4861.111328125,1166473.375,5670.3564453125
4514431,0,1,51,5,48,2,0,1,1,5,55,0,882333.416666667,882333.4375,4289.12109375,737717,3586.12426757812,882333.4375,4289.12109375
4514433,1,0,60,6,54,2,0,1,1,5,93,1,1483140,1483140,6408.62939453125,1400000,6049.3828125,1483140,6408.62939453125
4514434,1,0,30,6,48,3,0,1,1,3,58,1,1388140,1304806.625,6342.81005859375,1140000,5541.66650390625,1304806.625,6342.81005859375
4514434,1,0,32,5,84,3,1,0,1,2,77,0,900000,900000,2500,900000,2500,900000,2500
4514434,1,0,27,3,48,3,0,1,1,3,58,0,1223140,1223140,5945.8193359375,1140000,5541.66650390625,1223140,5945.8193359375
4514435,1,0,21,7,48,3,0,1,1,5,19,0,837717,737717,3586.12426757812,737717,3586.12426757812,737717,3586.12426757812
4514436,1,0,30,7,48,2,0,1,1,5,15,0,1000000,1000000,4861.111328125,1000000,4861.111328125,1000000,4861.111328125
4514438,1,0,27,7,45,3,0,1,1,5,8,0,3150000,3150000,16333.3330078125,2700000,14000,3150000,16333.3330078125
4514438,1,0,59,3,48,3,0,1,1,5,45,0,1426473.33333333,1166473.375,5670.3564453125,1000000,4861.111328125,1166473.375,5670.3564453125
